,Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly GB Download,Monthly Charge,Total Refunds,Total Long Distance Charges,Total Revenue,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_Não contratado,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Customer Status
0,0,0,2,9,16.0,65.6,0,381.51,974.81,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,9,10.0,-4.0,1,96.21,610.28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2,0,0,0,4,30.0,73.9,0,134.6,415.45,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3,1,0,1,13,4.0,98.0,0,361.66,1599.51,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
4,1,0,3,3,11.0,83.9,0,22.14,289.54,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
5,0,3,0,9,73.0,69.4,0,150.93,722.38,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
6,1,0,1,71,14.0,109.7,0,707.16,8611.41,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
7,0,0,8,63,7.0,84.65,0,816.48,6214.28,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
8,1,0,0,7,21.0,48.2,0,73.71,414.06,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
9,0,1,3,65,14.0,90.45,0,1849.9,7807.8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
10,0,0,0,54,10.0,45.2,0,0.0,2460.55,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
11,0,2,2,72,59.0,116.8,0,1152.72,9609.47,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
12,0,0,0,5,10.0,68.95,0,93.25,444.75,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
13,0,0,0,72,16.0,101.3,0,162.0,7423.25,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
14,0,0,0,56,19.0,45.05,0,0.0,2560.1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
15,0,2,9,71,12.0,95.75,0,1935.46,8784.86,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
16,0,1,0,34,20.0,61.25,0,0.0,1993.2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
17,1,0,0,45,17.0,62.7,0,480.15,3271.65,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
18,1,0,0,1,9.0,25.1,0,0.0,25.1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
19,1,0,0,50,0.0,25.2,0,1571.5,2877.8,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
20,0,0,1,13,52.0,94.1,0,566.28,1781.88,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
21,0,2,1,23,30.0,83.75,0,802.93,2652.88,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
22,0,0,0,4,0.0,20.35,0,49.72,126.07,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
23,0,1,1,1,19.0,30.5,0,0.0,30.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
24,0,3,10,55,57.0,103.7,0,1927.2,7603.95,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
25,0,3,3,54,0.0,20.4,0,1063.8,2154.4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
26,1,0,0,26,0.0,19.6,1,980.2,1430.8,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
27,0,3,5,69,0.0,19.7,0,2648.91,4045.81,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
28,0,3,1,37,51.0,91.2,0,1591.37,4838.92,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
29,0,0,5,49,0.0,20.45,0,2429.42,3330.32,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
30,0,0,9,66,41.0,-2.0,0,2888.82,10830.97,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
31,0,0,0,67,0.0,20.55,1,1549.04,2861.91,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
32,0,1,4,20,22.0,39.4,0,0.0,825.4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
33,0,3,0,43,0.0,25.1,0,1317.52,2387.67,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
34,0,0,2,55,9.0,89.8,0,279.4,5239.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
35,1,0,4,59,14.0,94.75,0,967.01,6564.66,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
36,0,3,3,12,0.0,20.3,0,231.36,455.86,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
37,1,3,7,27,23.0,75.75,0,682.02,2611.02,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
38,1,0,0,2,27.0,49.25,0,87.98,179.08,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
39,0,0,0,27,59.0,78.2,0,1320.57,3399.52,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
40,0,3,1,25,0.0,25.5,1,592.25,1178.43,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
41,0,0,5,25,19.0,61.6,1,161.25,1727.35,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
42,0,1,0,29,21.0,45.0,1,0.0,1230.19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
43,0,0,5,72,52.0,85.15,0,2329.92,8646.12,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
44,1,0,0,14,12.0,51.45,0,336.56,1064.41,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
45,0,0,0,35,2.0,99.25,0,1274.7,4806.7,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
46,0,0,0,29,17.0,94.2,0,59.45,2687.05,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
47,0,0,0,64,69.0,81.25,0,351.36,5958.91,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
